iter	Logloss
0	0.6827689636
1	0.6730679492
2	0.664197775
3	0.6549252569
4	0.645131091
5	0.6366534177
6	0.6279355342
7	0.6180571121
8	0.6103482302
9	0.6005109334
10	0.5916750387
11	0.5834062042
12	0.5754114585
13	0.5672125026
14	0.5594238338
15	0.5507948555
16	0.5423900521
17	0.5348398609
18	0.5279695144
19	0.5216634134
20	0.5135288781
21	0.5064179799
22	0.499830417
23	0.4941387078
24	0.4867215405
25	0.4796733407
26	0.4731424388
27	0.4671946559
28	0.4609269764
29	0.4553654813
30	0.4493249584
31	0.4432587018
32	0.4374953052
33	0.4312203522
34	0.4261870936
35	0.4209923728
36	0.4149871637
37	0.410299636
38	0.4040258693
39	0.3989355853
40	0.3935711975
41	0.389565455
42	0.3842879843
43	0.3801196643
44	0.3750058232
45	0.3693716931
46	0.3647182532
47	0.3598286962
48	0.3557285109
49	0.3522235412
50	0.3473051759
51	0.3427499318
52	0.3387065395
53	0.3348610571
54	0.3308563762
55	0.3274865581
56	0.3234302399
57	0.3192633134
58	0.315685743
59	0.3121226775
60	0.30858189
61	0.3057098657
62	0.3018095386
63	0.2992470901
64	0.2960592324
65	0.2923847051
66	0.2893043031
67	0.2865819643
68	0.283386932
69	0.2797668972
70	0.2765963839
71	0.2737971555
72	0.2707103004
73	0.2685500481
74	0.2657764415
75	0.2626420205
76	0.2598883478
77	0.2565453779
78	0.2537339429
79	0.2510390023
80	0.2484316924
81	0.2459800965
82	0.2432823611
83	0.2408435856
84	0.2379966323
85	0.2355655391
86	0.2332262808
87	0.2307612219
88	0.2289287703
89	0.2262594623
90	0.2244598736
91	0.222377175
92	0.2206753032
93	0.218404049
94	0.2169476252
95	0.2147602267
96	0.21260553
97	0.2104107734
98	0.2085066852
99	0.2064675485
100	0.2046331088
101	0.2027957178
102	0.2007412413
103	0.1993293341
104	0.1973548568
105	0.1959273981
106	0.1941192511
107	0.1923993446
108	0.1908245512
109	0.1889408949
110	0.1874535095
111	0.185911005
112	0.1839092216
113	0.1819397822
114	0.1800831195
115	0.1787145066
116	0.1774109392
117	0.1757187056
118	0.1745577273
119	0.1733046626
120	0.1719063012
121	0.1703898493
122	0.1692953834
123	0.1680801307
124	0.1667200879
125	0.1655166006
126	0.164164319
127	0.1626133952
128	0.1614888269
129	0.1600958771
130	0.1590066714
131	0.1576726594
132	0.1562622475
133	0.1553318959
134	0.1544600146
135	0.1534362651
136	0.1522576973
137	0.1507805089
138	0.1497369595
139	0.1486950728
140	0.1473555584
141	0.1460601506
142	0.1450501637
143	0.1440285939
144	0.1425490921
145	0.1412791924
146	0.1402629179
147	0.139151536
148	0.1381699585
149	0.13730851
150	0.1363240831
151	0.1352354592
152	0.1343825351
153	0.1334314974
154	0.1324307521
155	0.1319118433
156	0.1305877602
157	0.129853463
158	0.1288750303
159	0.1278272449
160	0.126648521
161	0.1259755114
162	0.1253481087
163	0.1243207905
164	0.1232150414
165	0.1225568582
166	0.121846554
167	0.1209176024
168	0.1202978356
169	0.1195049765
170	0.1185515319
171	0.1178720724
172	0.117004136
173	0.1161188002
174	0.11537089
175	0.1143389998
176	0.1136733399
177	0.11302493
178	0.112214673
179	0.1114341798
180	0.1104592906
181	0.1097193672
182	0.1091477709
183	0.108674203
184	0.1080784527
185	0.1072234317
186	0.1065698262
187	0.1057689313
188	0.1052424292
189	0.1047610255
190	0.1040398825
191	0.1034972691
192	0.1026224244
193	0.1020670599
194	0.1014046595
195	0.1009836596
196	0.100430055
197	0.09988435288
198	0.09930437132
199	0.09869225267
200	0.09785945863
201	0.0973921815
202	0.09697663215
203	0.09643543466
